Configuration,Size,ET,FileInput,CPU_Kernel,GPU_Kernel,Host2GPU,GPU2Host
HDD+GPU,512,0.096734, 0.000777, 0.000000, 0.002198, 0.000667, 0.000009
HDD+CPU,512,0.001264, 0.001114, 0.000110, 0.000000, 0.000000, 0.000000
SSD+GPU,512,0.100892, 0.001112, 0.000000, 0.002684, 0.000793, 0.000008
SSD+CPU,512,0.001068, 0.001036, 0.000023, 0.000000, 0.000000, 0.000000
HDD+GPU,32768,0.092828, 0.001465, 0.000000, 0.003591, 0.000737, 0.000056
HDD+CPU,32768,0.008978, 0.001561, 0.007364, 0.000000, 0.000000, 0.000000
SSD+GPU,32768,0.101481, 0.001338, 0.000000, 0.002967, 0.000640, 0.000048
SSD+CPU,32768,0.005266, 0.001231, 0.004017, 0.000000, 0.000000, 0.000000
HDD+GPU,262144,0.090805, 0.004846, 0.000000, 0.003444, 0.000728, 0.000343
HDD+CPU,262144,0.025870, 0.004644, 0.021197, 0.000000, 0.000000, 0.000000
SSD+GPU,262144,0.095597, 0.002341, 0.000000, 0.003787, 0.000699, 0.000358
SSD+CPU,262144,0.034892, 0.002438, 0.032406, 0.000000, 0.000000, 0.000000
