THREADS,CPUTIME,HOST2GPU,GPUTIME,GPU2HOST
0.000000,0.301039,0.000000,0.000000,0.000000
32768.000000,0.000000,0.108467,0.011211,0.020787
16384.000000,0.000000,0.084947,0.021308,0.020887
8192.000000,0.000000,0.098818,0.038676,0.021022
4096.000000,0.000000,0.107367,0.047617,0.020654
2048.000000,0.000000,0.084429,0.079498,0.020816
1024.000000,0.000000,0.087110,0.071768,0.020636
512.000000,0.000000,0.080286,0.072415,0.020940
256.000000,0.000000,0.089205,0.076265,0.020527
128.000000,0.000000,0.084324,0.075345,0.020736
64.000000,0.000000,0.103350,0.088408,0.021110
32.000000,0.000000,0.103557,0.087627,0.020711
16.000000,0.000000,0.106046,0.078659,0.021065
8.000000,0.000000,0.085776,0.150486,0.021027
4.000000,0.000000,0.100141,0.297337,0.021103
