'THREADS','CPUTIME','HOST2GPU','GPUTIME','GPU2HOST'
Using CPU
kernel: 2.402145 seconds
0.000000,2.402145,0.000000,0.000000,0.000000
32768.000000,0.000000,0.125952,0.001831,0.024609
16384.000000,0.000000,0.144965,0.003276,0.024438
8192.000000,0.000000,0.144301,0.006723,0.024372
4096.000000,0.000000,0.143688,0.013627,0.024365
2048.000000,0.000000,0.095439,0.044846,0.024427
1024.000000,0.000000,0.091879,0.063416,0.024467
512.000000,0.000000,0.141059,0.069334,0.024476
256.000000,0.000000,0.089426,0.110249,0.024268
128.000000,0.000000,0.141689,0.098160,0.024355
64.000000,0.000000,0.087702,0.108824,0.024432
32.000000,0.000000,0.138450,0.071469,0.024434
16.000000,0.000000,0.088683,0.035823,0.024467
8.000000,0.000000,0.088104,0.071931,0.024334
4.000000,0.000000,0.089081,0.142918,0.024469
