THREADS,CPUTIME,HOST2GPU,GPUTIME,GPU2HOST
0.000000,0.331995,0.000000,0.000000,0.000000
32768.000000,0.000000,0.118488,0.035687,0.019887
16384.000000,0.000000,0.102192,0.019058,0.019607
8192.000000,0.000000,0.074876,0.037562,0.019873
4096.000000,0.000000,0.078914,0.047031,0.020046
2048.000000,0.000000,0.107204,0.079638,0.019571
1024.000000,0.000000,0.087688,0.072166,0.020671
512.000000,0.000000,0.078552,0.070363,0.019413
256.000000,0.000000,0.073340,0.075273,0.019298
128.000000,0.000000,0.081263,0.076121,0.019373
64.000000,0.000000,0.074218,0.086544,0.020375
32.000000,0.000000,0.100827,0.088332,0.020301
16.000000,0.000000,0.089810,0.079000,0.020763
8.000000,0.000000,0.082025,0.149794,0.019429
4.000000,0.000000,0.082010,0.296299,0.020356
